City, Hour, Dpts
KualaLumpur MY, 23, 365
Singapore SIN, 0, 364
Singapore SIN, 1, 365
Singapore SIN, 2, 364
Singapore SIN, 3, 365
Singapore SIN, 4, 365
Singapore SIN, 5, 365
Singapore SIN, 6, 364
Singapore SIN, 7, 363
Singapore SIN, 8, 363
Singapore SIN, 9, 365
Singapore SIN, 10, 365
Singapore SIN, 11, 365
Singapore SIN, 12, 365
Singapore SIN, 13, 365
Singapore SIN, 14, 364
Singapore SIN, 20, 1
Singapore SIN, 21, 365
Singapore SIN, 22, 365
Singapore SIN, 23, 365
NewDelhi IND, 0, 360
NewDelhi IND, 1, 362
NewDelhi IND, 2, 354
NewDelhi IND, 3, 354
NewDelhi IND, 4, 351
NewDelhi IND, 5, 353
NewDelhi IND, 6, 357
NewDelhi IND, 7, 361
NewDelhi IND, 8, 358
NewDelhi IND, 9, 357
NewDelhi IND, 10, 358
NewDelhi IND, 11, 358
NewDelhi IND, 12, 364
NewDelhi IND, 13, 363
NewDelhi IND, 14, 361
NewDelhi IND, 15, 362
NewDelhi IND, 16, 359
NewDelhi IND, 17, 355
NewDelhi IND, 18, 328
NewDelhi IND, 19, 359
NewDelhi IND, 20, 359
NewDelhi IND, 21, 358
NewDelhi IND, 22, 357
NewDelhi IND, 23, 356
Brisbane AU, 0, 365
Brisbane AU, 1, 365
Brisbane AU, 2, 364
Brisbane AU, 3, 365
Brisbane AU, 4, 364
Brisbane AU, 5, 365
Brisbane AU, 6, 365
Brisbane AU, 7, 365
Brisbane AU, 8, 364
Brisbane AU, 9, 364
Brisbane AU, 10, 365
Brisbane AU, 11, 365
Brisbane AU, 12, 365
Brisbane AU, 13, 359
Brisbane AU, 14, 365
Brisbane AU, 15, 364
Brisbane AU, 16, 365
Brisbane AU, 17, 365
Brisbane AU, 18, 365
Brisbane AU, 19, 365
Brisbane AU, 20, 365
Brisbane AU, 21, 365
Brisbane AU, 22, 365
Brisbane AU, 23, 365
Phoenix AZ, 0, 364
Phoenix AZ, 1, 364
Phoenix AZ, 2, 363
Phoenix AZ, 3, 363
Phoenix AZ, 4, 362
Phoenix AZ, 5, 362
Phoenix AZ, 6, 8
Phoenix AZ, 7, 363
Phoenix AZ, 8, 365
Phoenix AZ, 9, 365
Phoenix AZ, 10, 365
Phoenix AZ, 11, 360
Phoenix AZ, 12, 365
Phoenix AZ, 13, 364
Phoenix AZ, 14, 365
Phoenix AZ, 15, 365
Phoenix AZ, 16, 364
Phoenix AZ, 17, 363
Phoenix AZ, 18, 365
Phoenix AZ, 19, 364
Phoenix AZ, 20, 365
Phoenix AZ, 21, 365
Phoenix AZ, 22, 365
Phoenix AZ, 23, 364
Boston MA, 0, 364
Boston MA, 1, 364
Boston MA, 2, 363
Boston MA, 3, 152
Boston MA, 4, 254
Boston MA, 5, 364
Boston MA, 6, 364
Boston MA, 7, 365
Boston MA, 8, 364
Boston MA, 9, 365
Boston MA, 10, 365
Boston MA, 11, 365
Boston MA, 12, 365
Boston MA, 13, 365
Boston MA, 14, 364
Boston MA, 15, 365
Boston MA, 16, 365
Boston MA, 17, 365
Boston MA, 18, 365
Boston MA, 19, 365
Boston MA, 20, 365
Boston MA, 21, 365
Boston MA, 22, 364
Boston MA, 23, 365
Denver CO, 0, 364
Denver CO, 1, 363
Denver CO, 2, 362
Denver CO, 3, 363
Denver CO, 4, 363
Denver CO, 5, 146
Denver CO, 6, 244
Denver CO, 7, 361
Denver CO, 8, 363
Denver CO, 9, 364
Denver CO, 10, 364
Denver CO, 11, 365
Denver CO, 12, 364
Denver CO, 13, 362
Denver CO, 14, 365
Denver CO, 15, 365
Denver CO, 16, 364
Denver CO, 17, 365
Denver CO, 18, 363
Denver CO, 19, 364
Denver CO, 20, 365
Denver CO, 21, 364
Denver CO, 22, 364
Denver CO, 23, 364
Houston TX, 0, 364
Houston TX, 1, 364
Houston TX, 2, 363
Houston TX, 3, 364
Houston TX, 4, 140
Houston TX, 5, 261
Houston TX, 6, 364
Houston TX, 7, 364
Houston TX, 8, 365
Houston TX, 9, 364
Houston TX, 10, 364
Houston TX, 11, 362
Houston TX, 12, 364
Houston TX, 13, 364
Houston TX, 14, 364
Houston TX, 15, 365
Houston TX, 16, 363
Houston TX, 17, 365
Houston TX, 18, 364
Houston TX, 19, 364
Houston TX, 20, 365
Houston TX, 21, 365
Houston TX, 22, 365
Houston TX, 23, 363
Seattle WA, 0, 364
Seattle WA, 1, 364
Seattle WA, 2, 363
Seattle WA, 3, 363
Seattle WA, 4, 363
Seattle WA, 5, 364
Seattle WA, 6, 162
Seattle WA, 7, 266
Seattle WA, 8, 365
Seattle WA, 9, 365
Seattle WA, 10, 365
Seattle WA, 11, 362
Seattle WA, 12, 365
Seattle WA, 13, 364
Seattle WA, 14, 365
Seattle WA, 15, 364
Seattle WA, 16, 364
Seattle WA, 17, 363
Seattle WA, 18, 363
Seattle WA, 19, 364
Seattle WA, 20, 364
Seattle WA, 21, 364
Seattle WA, 22, 365
Seattle WA, 23, 365
LasVegas NV, 0, 363
LasVegas NV, 1, 363
LasVegas NV, 2, 363
LasVegas NV, 3, 362
LasVegas NV, 4, 362
LasVegas NV, 5, 361
LasVegas NV, 6, 130
LasVegas NV, 7, 239
LasVegas NV, 8, 365
LasVegas NV, 9, 365
LasVegas NV, 10, 365
LasVegas NV, 11, 364
LasVegas NV, 12, 365
LasVegas NV, 13, 364
LasVegas NV, 14, 364
LasVegas NV, 15, 365
LasVegas NV, 16, 365
LasVegas NV, 17, 365
LasVegas NV, 18, 364
LasVegas NV, 19, 365
LasVegas NV, 20, 364
LasVegas NV, 21, 364
LasVegas NV, 22, 363
LasVegas NV, 23, 365
NewYork NY, 0, 360
NewYork NY, 1, 361
NewYork NY, 2, 359
NewYork NY, 3, 166
NewYork NY, 4, 247
NewYork NY, 5, 359
NewYork NY, 6, 360
NewYork NY, 7, 362
NewYork NY, 8, 357
NewYork NY, 9, 363
NewYork NY, 10, 362
NewYork NY, 11, 364
NewYork NY, 12, 363
NewYork NY, 13, 361
NewYork NY, 14, 360
NewYork NY, 15, 361
NewYork NY, 16, 362
NewYork NY, 17, 361
NewYork NY, 18, 359
NewYork NY, 19, 362
NewYork NY, 20, 363
NewYork NY, 21, 363
NewYork NY, 22, 362
NewYork NY, 23, 363
London UK, 0, 362
London UK, 1, 364
London UK, 2, 364
London UK, 3, 365
London UK, 4, 365
London UK, 5, 365
London UK, 6, 365
London UK, 7, 365
London UK, 8, 365
London UK, 9, 365
London UK, 10, 365
London UK, 11, 365
London UK, 12, 365
London UK, 13, 365
London UK, 14, 365
London UK, 15, 365
London UK, 16, 365
London UK, 17, 365
London UK, 18, 365
London UK, 19, 365
London UK, 20, 365
London UK, 21, 365
London UK, 22, 363
London UK, 23, 363
Sydney AU, 0, 365
Sydney AU, 1, 365
Sydney AU, 2, 364
Sydney AU, 3, 365
Sydney AU, 4, 365
Sydney AU, 5, 365
Sydney AU, 6, 365
Sydney AU, 7, 365
Sydney AU, 8, 364
Sydney AU, 9, 364
Sydney AU, 10, 365
Sydney AU, 11, 365
Sydney AU, 12, 363
Sydney AU, 13, 359
Sydney AU, 14, 363
Sydney AU, 15, 365
Sydney AU, 16, 364
Sydney AU, 17, 365
Sydney AU, 18, 365
Sydney AU, 19, 365
Sydney AU, 20, 365
Sydney AU, 21, 365
Sydney AU, 22, 365
Sydney AU, 23, 365
Buffalo NY, 0, 362
Buffalo NY, 1, 364
Buffalo NY, 2, 363
Buffalo NY, 3, 160
Buffalo NY, 4, 270
Buffalo NY, 5, 365
Buffalo NY, 6, 365
Buffalo NY, 7, 365
Buffalo NY, 8, 365
Buffalo NY, 9, 365
Buffalo NY, 10, 365
Buffalo NY, 11, 365
Buffalo NY, 12, 365
Buffalo NY, 13, 365
Buffalo NY, 14, 364
Buffalo NY, 15, 365
Buffalo NY, 16, 364
Buffalo NY, 17, 364
Buffalo NY, 18, 362
Buffalo NY, 19, 365
Buffalo NY, 20, 364
Buffalo NY, 21, 364
Buffalo NY, 22, 365
Buffalo NY, 23, 365
Pittsburgh PA, 0, 363
Pittsburgh PA, 1, 359
Pittsburgh PA, 2, 356
Pittsburgh PA, 3, 147
Pittsburgh PA, 4, 260
Pittsburgh PA, 5, 363
Pittsburgh PA, 6, 363
Pittsburgh PA, 7, 362
Pittsburgh PA, 8, 361
Pittsburgh PA, 9, 364
Pittsburgh PA, 10, 365
Pittsburgh PA, 11, 362
Pittsburgh PA, 12, 362
Pittsburgh PA, 13, 364
Pittsburgh PA, 14, 362
Pittsburgh PA, 15, 363
Pittsburgh PA, 16, 364
Pittsburgh PA, 17, 360
Pittsburgh PA, 18, 361
Pittsburgh PA, 19, 363
Pittsburgh PA, 20, 358
Pittsburgh PA, 21, 362
Pittsburgh PA, 22, 364
Pittsburgh PA, 23, 362
Honolulu HI, 0, 363
Honolulu HI, 1, 362
Honolulu HI, 2, 361
Honolulu HI, 3, 363
Honolulu HI, 4, 363
Honolulu HI, 5, 363
Honolulu HI, 6, 364
Honolulu HI, 7, 364
Honolulu HI, 8, 364
Honolulu HI, 9, 9
Honolulu HI, 10, 365
Honolulu HI, 11, 365
Honolulu HI, 12, 365
Honolulu HI, 13, 364
Honolulu HI, 14, 365
Honolulu HI, 15, 365
Honolulu HI, 16, 365
Honolulu HI, 17, 365
Honolulu HI, 18, 365
Honolulu HI, 19, 365
Honolulu HI, 20, 365
Honolulu HI, 21, 365
Honolulu HI, 22, 365
Honolulu HI, 23, 365
Sunnyvale CA, 0, 359
Sunnyvale CA, 1, 360
Sunnyvale CA, 2, 357
Sunnyvale CA, 3, 358
Sunnyvale CA, 4, 357
Sunnyvale CA, 5, 358
Sunnyvale CA, 6, 361
Sunnyvale CA, 7, 360
Sunnyvale CA, 8, 362
Sunnyvale CA, 9, 362
Sunnyvale CA, 10, 362
Sunnyvale CA, 11, 361
Sunnyvale CA, 12, 362
Sunnyvale CA, 13, 361
Sunnyvale CA, 14, 362
Sunnyvale CA, 15, 361
Sunnyvale CA, 16, 360
Sunnyvale CA, 17, 361
Sunnyvale CA, 18, 360
Sunnyvale CA, 19, 360
Sunnyvale CA, 20, 360
Sunnyvale CA, 21, 358
Sunnyvale CA, 22, 360
Sunnyvale CA, 23, 359
Schaumburg IL, 0, 349
Schaumburg IL, 1, 347
Schaumburg IL, 2, 343
Schaumburg IL, 3, 344
Schaumburg IL, 4, 342
Schaumburg IL, 5, 342
Schaumburg IL, 6, 341
Schaumburg IL, 7, 344
Schaumburg IL, 8, 346
Schaumburg IL, 9, 344
Schaumburg IL, 10, 345
Schaumburg IL, 11, 347
Schaumburg IL, 12, 346
Schaumburg IL, 13, 346
Schaumburg IL, 14, 346
Schaumburg IL, 15, 346
Schaumburg IL, 16, 346
Schaumburg IL, 17, 347
Schaumburg IL, 18, 347
Schaumburg IL, 19, 348
Schaumburg IL, 20, 345
Schaumburg IL, 21, 345
Schaumburg IL, 22, 350
Schaumburg IL, 23, 350
Miami FL, 0, 350
Miami FL, 1, 350
Miami FL, 2, 349
Miami FL, 3, 350
Miami FL, 4, 350
Miami FL, 5, 350
Miami FL, 6, 350
Miami FL, 7, 350
Miami FL, 8, 350
Miami FL, 9, 350
Miami FL, 10, 350
Miami FL, 11, 350
Miami FL, 12, 350
Miami FL, 13, 350
Miami FL, 14, 350
Miami FL, 15, 350
Miami FL, 16, 350
Miami FL, 17, 350
Miami FL, 18, 350
Miami FL, 19, 350
Miami FL, 20, 349
Miami FL, 21, 349
Miami FL, 22, 349
Miami FL, 23, 349
Richmond VA, 0, 340
Richmond VA, 1, 340
Richmond VA, 2, 339
Richmond VA, 3, 337
Richmond VA, 4, 332
Richmond VA, 5, 331
Richmond VA, 6, 332
Richmond VA, 7, 321
Richmond VA, 8, 317
Richmond VA, 9, 320
Richmond VA, 10, 320
Richmond VA, 11, 320
Richmond VA, 12, 324
Richmond VA, 13, 326
Richmond VA, 14, 328
Richmond VA, 15, 334
Richmond VA, 16, 339
Richmond VA, 17, 343
Richmond VA, 18, 344
Richmond VA, 19, 347
Richmond VA, 20, 349
Richmond VA, 21, 349
Richmond VA, 22, 342
Richmond VA, 23, 341
